meal_1_idx,meal_2_idx,meal_3_idx,meal_4_idx,meal_5_idx,meal_6_idx,meal_7_idx,meal_8_idx,meal_9_idx,meal_10_idx,meal_11_idx,meal_12_idx,meal_13_idx,meal_14_idx,meal_15_idx,meal_16_idx,meal_17_idx,meal_18_idx,meal_19_idx,meal_20_idx,meal_21_idx,meal_22_idx,meal_23_idx,meal_24_idx,meal_25_idx,meal_26_idx,meal_27_idx,meal_28_idx,meal_29_idx,meal_30_idx,meal_31_idx,meal_32_idx,meal_33_idx,meal_34_idx,meal_35_idx,meal_36_idx,meal_37_idx,meal_38_idx,meal_39_idx,meal_40_idx,meal_41_idx,meal_42_idx,meal_43_idx,meal_44_idx,meal_45_idx,meal_46_idx,meal_47_idx,meal_48_idx,meal_49_idx,meal_50_idx,meal_51_idx,meal_52_idx,meal_53_idx,meal_54_idx,meal_55_idx,meal_56_idx,meal_57_idx,meal_58_idx,meal_59_idx,meal_60_idx,meal_61_idx,meal_62_idx
mieayam,nasi telur,mieayam,capcay,buah,bubur,nasi_uduk,salad,cireng,mi instan ,roti,mi instan ,capcay,mieayam,cireng,capcay,gorengan,mi instan ,ayamgeprek,nasipadang,cireng,nasipadang,nasigoreng,warteg,bakso,nasi telur,nasi telur,bubur,sate,nasi telur,mieayam,nasipadang,gorengan,ayamgeprek,mieayam,warteg,nasigoreng,nasipadang,nasi_uduk,cireng,salad,mi instan ,mi instan ,nasi_uduk,bakso,cireng,warteg,sate,nasi_uduk,nasipadang,gorengan,buah,sate,roti,roti,ayamgeprek,buah,salad,nasi telur,bakso,nasi telur,nasi telur
bubur,sate,bubur,bubur,nasipadang,nasipadang,nasi_uduk,mi instan ,capcay,warteg,capcay,nasigoreng,warteg,sate,nasi telur,bubur,salad,cireng,sate,nasi_uduk,bakso,bubur,bakso,mieayam,warteg,gorengan,ayamgeprek,salad,warteg,soto,ayamgeprek,capcay,nasi_uduk,mieayam,cireng,soto,nasipadang,mieayam,gorengan,capcay,warteg,nasi telur,capcay,buah,ayamgeprek,salad,nasigoreng,nasi telur,warteg,nasigoreng,mi instan ,nasi telur,nasi_uduk,warteg,salad,gorengan,salad,sate,roti,bakso,ayamgeprek,nasi telur
salad,nasipadang,soto,nasigoreng,gorengan,bubur,gorengan,ayamgeprek,salad,buah,ayamgeprek,seblak,nasi telur,salad,nasigoreng,salad,warteg,nasigoreng,warteg,warteg,nasi_uduk,nasi_uduk,roti,capcay,nasipadang,nasigoreng,nasi_uduk,gorengan,mieayam,nasi_uduk,gorengan,mi instan ,mieayam,warteg,roti,salad,capcay,nasigoreng,sate,capcay,roti,soto,seblak,capcay,bakso,bakso,bakso,gorengan,nasi_uduk,bubur,mieayam,nasigoreng,nasipadang,ayamgeprek,cireng,soto,mi instan ,capcay,nasi telur,salad,capcay,sate
mi instan ,sate,cireng,gorengan,roti,nasigoreng,warteg,warteg,sate,gorengan,buah,warteg,mieayam,warteg,salad,ayamgeprek,nasipadang,mieayam,sate,mi instan ,bubur,nasipadang,capcay,nasi telur,sate,nasi_uduk,bakso,cireng,gorengan,nasi telur,nasi telur,buah,roti,bakso,cireng,sate,seblak,roti,bubur,gorengan,sate,sate,ayamgeprek,nasipadang,roti,mieayam,mieayam,capcay,ayamgeprek,bubur,soto,mieayam,salad,nasigoreng,mi instan ,bubur,roti,capcay,mieayam,salad,ayamgeprek,capcay
sate,warteg,nasi telur,ayamgeprek,nasigoreng,bakso,gorengan,roti,bubur,gorengan,nasipadang,soto,roti,nasi telur,salad,buah,nasigoreng,cireng,ayamgeprek,buah,nasi_uduk,gorengan,gorengan,bubur,soto,roti,buah,buah,ayamgeprek,roti,nasi_uduk,mi instan ,nasipadang,bakso,ayamgeprek,sate,sate,roti,sate,warteg,nasigoreng,nasipadang,sate,warteg,buah,nasigoreng,bakso,sate,nasipadang,gorengan,mi instan ,ayamgeprek,capcay,salad,mieayam,salad,mi instan ,nasi_uduk,roti,salad,mi instan ,gorengan
warteg,nasigoreng,gorengan,gorengan,salad,soto,nasi_uduk,bubur,gorengan,warteg,seblak,nasi_uduk,roti,warteg,warteg,buah,nasigoreng,warteg,gorengan,nasi telur,bubur,salad,soto,nasi_uduk,ayamgeprek,salad,ayamgeprek,ayamgeprek,gorengan,cireng,salad,cireng,sate,sate,capcay,gorengan,salad,warteg,bubur,nasipadang,nasi_uduk,nasipadang,ayamgeprek,nasigoreng,capcay,gorengan,soto,mieayam,nasigoreng,cireng,bakso,buah,seblak,salad,cireng,buah,sate,capcay,nasipadang,nasipadang,sate,warteg
nasigoreng,nasi_uduk,capcay,nasi_uduk,cireng,roti,mieayam,nasipadang,nasi telur,buah,seblak,mi instan ,nasi telur,capcay,seblak,capcay,soto,gorengan,seblak,nasipadang,bubur,cireng,gorengan,warteg,capcay,nasi telur,buah,ayamgeprek,capcay,nasipadang,mieayam,nasipadang,roti,mi instan ,roti,nasigoreng,nasipadang,mi instan ,mi instan ,buah,soto,buah,nasi telur,nasi telur,roti,nasipadang,soto,nasi telur,ayamgeprek,nasi telur,seblak,bakso,nasi telur,bakso,sate,bakso,nasigoreng,mi instan ,nasi_uduk,bubur,nasigoreng,capcay
gorengan,nasipadang,mieayam,buah,capcay,seblak,nasipadang,nasigoreng,gorengan,capcay,seblak,seblak,soto,nasipadang,cireng,nasipadang,nasigoreng,nasigoreng,cireng,gorengan,soto,nasi_uduk,warteg,nasi telur,ayamgeprek,capcay,nasipadang,bakso,salad,salad,buah,nasipadang,ayamgeprek,sate,soto,cireng,mi instan ,gorengan,seblak,nasipadang,sate,ayamgeprek,capcay,bakso,soto,warteg,bakso,nasi_uduk,nasipadang,bakso,nasi_uduk,mi instan ,bakso,nasi_uduk,nasi_uduk,buah,mi instan ,nasi telur,salad,warteg,nasigoreng,buah
gorengan,gorengan,cireng,salad,nasi telur,ayamgeprek,mieayam,bakso,cireng,ayamgeprek,cireng,mieayam,nasi telur,ayamgeprek,nasi telur,gorengan,capcay,soto,mieayam,sate,capcay,buah,seblak,nasipadang,sate,roti,buah,bakso,seblak,cireng,gorengan,cireng,warteg,sate,bubur,salad,soto,capcay,sate,mi instan ,cireng,nasi telur,nasipadang,nasipadang,gorengan,nasi_uduk,capcay,sate,mi instan ,roti,seblak,capcay,mieayam,gorengan,nasi_uduk,nasi telur,bakso,buah,cireng,ayamgeprek,mieayam,cireng
gorengan,gorengan,nasigoreng,nasi_uduk,nasi telur,nasi telur,gorengan,roti,roti,nasigoreng,warteg,ayamgeprek,roti,gorengan,gorengan,bubur,bakso,ayamgeprek,mi instan ,mieayam,mieayam,mi instan ,warteg,nasigoreng,bubur,bubur,nasigoreng,cireng,nasipadang,ayamgeprek,nasipadang,ayamgeprek,buah,capcay,sate,salad,mi instan ,nasi_uduk,nasi_uduk,warteg,soto,bakso,buah,nasi telur,nasigoreng,cireng,soto,salad,sate,nasigoreng,mieayam,cireng,sate,gorengan,bakso,sate,nasigoreng,cireng,gorengan,bakso,soto,nasi telur
nasigoreng,sate,salad,roti,bubur,soto,roti,mi instan ,nasi telur,nasigoreng,bakso,buah,bakso,nasi_uduk,mi instan ,bubur,cireng,bakso,mieayam,nasipadang,gorengan,nasi_uduk,seblak,ayamgeprek,bubur,cireng,roti,capcay,ayamgeprek,bubur,nasigoreng,nasi telur,nasipadang,nasi telur,nasi telur,bakso,bakso,seblak,nasi telur,nasi_uduk,ayamgeprek,nasigoreng,nasi telur,gorengan,salad,bubur,bakso,roti,buah,soto,salad,gorengan,warteg,nasi telur,soto,nasi telur,mi instan ,cireng,roti,seblak,capcay,capcay
gorengan,nasigoreng,capcay,nasigoreng,mieayam,soto,nasi_uduk,mi instan ,sate,capcay,mi instan ,mi instan ,nasipadang,nasipadang,cireng,mieayam,bakso,warteg,mi instan ,gorengan,warteg,soto,warteg,nasipadang,sate,buah,seblak,nasi_uduk,cireng,mi instan ,warteg,seblak,sate,seblak,gorengan,warteg,roti,mieayam,nasi_uduk,mi instan ,roti,capcay,nasi_uduk,roti,gorengan,ayamgeprek,gorengan,sate,nasi_uduk,mieayam,bubur,capcay,mi instan ,nasipadang,cireng,roti,nasigoreng,roti,bubur,cireng,mi instan ,nasi_uduk
buah,warteg,capcay,mi instan ,salad,roti,nasi telur,cireng,gorengan,soto,mi instan ,buah,nasipadang,nasi telur,warteg,nasigoreng,warteg,ayamgeprek,bubur,buah,mi instan ,salad,mieayam,ayamgeprek,sate,nasigoreng,salad,nasipadang,cireng,warteg,mieayam,roti,nasi_uduk,ayamgeprek,nasigoreng,roti,nasigoreng,bakso,mieayam,cireng,bubur,mieayam,nasi_uduk,capcay,mi instan ,nasi_uduk,seblak,ayamgeprek,salad,bubur,roti,gorengan,bakso,nasipadang,mieayam,sate,bakso,buah,bubur,nasigoreng,nasigoreng,ayamgeprek
ayamgeprek,nasi telur,nasigoreng,mi instan ,sate,bakso,salad,nasi_uduk,sate,salad,mi instan ,gorengan,bubur,nasi telur,bakso,mi instan ,ayamgeprek,ayamgeprek,buah,roti,bakso,nasi_uduk,mi instan ,nasi telur,nasipadang,sate,seblak,soto,nasi_uduk,salad,salad,mieayam,warteg,ayamgeprek,gorengan,nasigoreng,bakso,salad,gorengan,cireng,mieayam,mi instan ,buah,buah,ayamgeprek,salad,nasigoreng,buah,nasipadang,mieayam,nasi telur,salad,salad,nasi telur,soto,bubur,capcay,nasi_uduk,nasi telur,mi instan ,cireng,sate
nasi_uduk,bakso,seblak,salad,cireng,soto,nasipadang,nasi_uduk,bubur,roti,salad,capcay,salad,soto,bubur,capcay,bakso,gorengan,mieayam,bakso,mi instan ,ayamgeprek,ayamgeprek,capcay,bubur,buah,soto,bakso,cireng,nasipadang,warteg,nasi_uduk,cireng,ayamgeprek,warteg,bakso,sate,sate,ayamgeprek,salad,capcay,nasipadang,nasipadang,bakso,cireng,bubur,capcay,nasi telur,warteg,nasipadang,gorengan,capcay,capcay,capcay,salad,seblak,nasigoreng,warteg,roti,nasi_uduk,mi instan ,cireng
ayamgeprek,mieayam,bubur,gorengan,bakso,sate,nasigoreng,seblak,capcay,gorengan,sate,buah,bubur,sate,bubur,sate,capcay,sate,nasipadang,nasipadang,roti,nasigoreng,cireng,ayamgeprek,capcay,soto,capcay,sate,seblak,cireng,bubur,sate,buah,buah,soto,nasipadang,roti,mi instan ,bubur,nasigoreng,seblak,bakso,nasi telur,mieayam,cireng,nasipadang,nasipadang,nasi_uduk,nasigoreng,bubur,seblak,nasigoreng,roti,bubur,nasigoreng,ayamgeprek,nasipadang,buah,nasigoreng,cireng,nasi_uduk,buah
nasipadang,buah,capcay,bubur,seblak,buah,nasipadang,gorengan,capcay,nasi telur,nasi_uduk,warteg,mieayam,capcay,roti,nasigoreng,capcay,seblak,nasi_uduk,salad,seblak,seblak,cireng,ayamgeprek,bubur,ayamgeprek,mi instan ,roti,nasipadang,sate,ayamgeprek,nasi telur,nasigoreng,buah,nasi telur,seblak,gorengan,nasi_uduk,seblak,nasi telur,warteg,ayamgeprek,soto,capcay,roti,seblak,mi instan ,ayamgeprek,soto,nasi_uduk,cireng,bakso,mi instan ,bubur,soto,nasipadang,bakso,warteg,capcay,bubur,nasi_uduk,seblak
nasi telur,nasigoreng,nasi_uduk,nasi telur,ayamgeprek,mieayam,seblak,ayamgeprek,bubur,nasipadang,bakso,nasi telur,mi instan ,salad,nasigoreng,seblak,seblak,sate,nasi_uduk,nasigoreng,nasi telur,mi instan ,nasipadang,gorengan,mi instan ,seblak,bakso,gorengan,nasigoreng,warteg,mieayam,soto,nasigoreng,capcay,capcay,buah,bakso,mi instan ,nasipadang,sate,cireng,sate,cireng,soto,gorengan,capcay,sate,bakso,mieayam,salad,bubur,nasipadang,ayamgeprek,nasipadang,soto,bakso,cireng,buah,soto,soto,roti,cireng
nasipadang,mieayam,mi instan ,salad,gorengan,nasigoreng,nasigoreng,nasigoreng,sate,nasi telur,nasigoreng,soto,nasipadang,mieayam,sate,mi instan ,nasi_uduk,buah,gorengan,salad,nasi_uduk,buah,nasigoreng,cireng,nasi telur,bakso,gorengan,seblak,bakso,mieayam,sate,bubur,warteg,seblak,nasigoreng,soto,buah,nasipadang,sate,capcay,buah,nasipadang,buah,roti,nasipadang,nasi_uduk,seblak,nasigoreng,mi instan ,seblak,bakso,mi instan ,nasi_uduk,salad,nasipadang,seblak,salad,bakso,bubur,capcay,cireng,buah
nasipadang,cireng,mi instan ,nasigoreng,bubur,ayamgeprek,nasi_uduk,buah,nasi_uduk,cireng,nasigoreng,soto,sate,nasi telur,mieayam,ayamgeprek,nasi_uduk,mieayam,warteg,bubur,mi instan ,soto,buah,nasigoreng,seblak,salad,buah,mieayam,gorengan,roti,buah,gorengan,cireng,capcay,roti,soto,warteg,nasipadang,nasi_uduk,nasipadang,nasigoreng,ayamgeprek,mi instan ,mieayam,mi instan ,buah,nasi_uduk,seblak,nasi telur,buah,salad,nasi_uduk,cireng,buah,mi instan ,nasigoreng,capcay,mi instan ,capcay,roti,soto,cireng
roti,seblak,capcay,nasigoreng,salad,sate,mi instan ,warteg,nasi telur,nasipadang,seblak,nasipadang,nasigoreng,mieayam,sate,sate,cireng,salad,salad,seblak,gorengan,nasi telur,sate,salad,nasigoreng,cireng,capcay,buah,roti,salad,cireng,nasi_uduk,roti,nasipadang,mi instan ,gorengan,seblak,seblak,warteg,warteg,sate,cireng,nasi telur,bakso,bubur,sate,mi instan ,mi instan ,warteg,mieayam,nasi telur,capcay,nasi telur,cireng,buah,sate,capcay,capcay,bubur,cireng,bubur,nasigoreng
roti,ayamgeprek,roti,gorengan,sate,roti,salad,nasigoreng,seblak,sate,nasi telur,nasi telur,mi instan ,bubur,seblak,roti,soto,sate,capcay,roti,mi instan ,cireng,nasi_uduk,soto,sate,bakso,bubur,roti,roti,nasi telur,bubur,ayamgeprek,salad,bubur,bubur,mi instan ,sate,cireng,soto,warteg,bakso,mieayam,ayamgeprek,capcay,nasi_uduk,gorengan,bakso,salad,nasigoreng,cireng,roti,gorengan,nasi_uduk,seblak,nasi_uduk,nasigoreng,ayamgeprek,soto,seblak,roti,mieayam,bakso
mi instan ,sate,soto,nasigoreng,mieayam,mieayam,mi instan ,gorengan,nasi_uduk,warteg,sate,mi instan ,ayamgeprek,bubur,soto,mi instan ,nasi telur,bubur,nasi telur,seblak,warteg,soto,nasigoreng,mieayam,mi instan ,cireng,nasi_uduk,nasi_uduk,nasi telur,seblak,buah,bubur,bakso,buah,nasi telur,gorengan,warteg,mi instan ,cireng,buah,sate,buah,nasigoreng,nasi_uduk,nasigoreng,cireng,nasipadang,mieayam,gorengan,warteg,buah,salad,cireng,salad,seblak,nasi_uduk,cireng,mieayam,warteg,buah,cireng,bubur
mi instan ,salad,seblak,nasi telur,roti,seblak,mi instan ,nasipadang,nasipadang,roti,salad,sate,nasi telur,nasigoreng,warteg,sate,capcay,sate,seblak,bakso,salad,nasigoreng,ayamgeprek,sate,sate,salad,bakso,nasipadang,mieayam,seblak,soto,roti,soto,bubur,bubur,mieayam,bakso,capcay,sate,capcay,nasigoreng,cireng,gorengan,nasipadang,nasi_uduk,roti,seblak,cireng,salad,sate,nasi_uduk,bubur,salad,mi instan ,bubur,ayamgeprek,warteg,mieayam,nasigoreng,nasigoreng,gorengan,mi instan 
nasi_uduk,capcay,salad,bakso,bakso,bakso,nasi telur,nasigoreng,nasi telur,nasipadang,nasipadang,salad,salad,nasi_uduk,nasi telur,bubur,seblak,sate,mi instan ,nasi_uduk,nasipadang,gorengan,nasipadang,nasigoreng,nasi_uduk,nasi telur,mieayam,nasi telur,nasi telur,salad,warteg,capcay,gorengan,bubur,nasi_uduk,bubur,roti,mieayam,sate,cireng,cireng,ayamgeprek,mi instan ,capcay,roti,nasigoreng,salad,nasigoreng,bakso,nasi telur,soto,gorengan,nasi telur,cireng,sate,bakso,nasi_uduk,nasigoreng,nasigoreng,seblak,capcay,gorengan
nasi telur,warteg,salad,buah,bakso,bakso,ayamgeprek,mi instan ,salad,warteg,seblak,ayamgeprek,warteg,soto,seblak,salad,nasipadang,bakso,cireng,nasi_uduk,bakso,gorengan,sate,nasi_uduk,capcay,roti,bakso,gorengan,mieayam,bubur,sate,warteg,roti,warteg,seblak,gorengan,bubur,sate,buah,nasigoreng,seblak,mieayam,nasi_uduk,ayamgeprek,mieayam,bubur,nasigoreng,ayamgeprek,cireng,capcay,salad,gorengan,bubur,buah,capcay,nasigoreng,gorengan,soto,nasigoreng,mieayam,bubur,ayamgeprek
sate,ayamgeprek,warteg,mieayam,nasi telur,bakso,soto,mi instan ,warteg,gorengan,gorengan,nasi_uduk,cireng,salad,cireng,bakso,buah,mi instan ,nasigoreng,nasigoreng,nasi_uduk,soto,mieayam,cireng,gorengan,capcay,nasi telur,mi instan ,nasi_uduk,sate,capcay,warteg,seblak,salad,sate,bakso,roti,ayamgeprek,gorengan,nasi telur,soto,nasipadang,bubur,buah,cireng,nasi telur,gorengan,nasi telur,cireng,bakso,cireng,nasigoreng,gorengan,nasi_uduk,bubur,seblak,roti,nasi telur,ayamgeprek,gorengan,nasi telur,mieayam
buah,seblak,roti,sate,mieayam,warteg,buah,buah,mieayam,buah,soto,buah,gorengan,bakso,bubur,gorengan,capcay,mi instan ,nasi telur,bubur,sate,bubur,cireng,cireng,ayamgeprek,capcay,buah,ayamgeprek,cireng,salad,cireng,seblak,mi instan ,gorengan,nasigoreng,nasipadang,nasipadang,soto,salad,sate,warteg,nasipadang,bubur,soto,nasigoreng,ayamgeprek,nasipadang,mieayam,gorengan,bakso,mieayam,warteg,capcay,mieayam,gorengan,salad,buah,nasigoreng,seblak,capcay,cireng,mieayam
nasi_uduk,cireng,warteg,mieayam,roti,ayamgeprek,buah,nasipadang,warteg,nasi_uduk,capcay,mieayam,roti,bakso,nasi telur,roti,soto,bakso,mieayam,mieayam,nasigoreng,mi instan ,cireng,mi instan ,sate,roti,ayamgeprek,soto,warteg,bakso,roti,salad,cireng,nasi_uduk,ayamgeprek,soto,mieayam,roti,buah,gorengan,warteg,capcay,warteg,mieayam,warteg,ayamgeprek,nasi_uduk,roti,ayamgeprek,sate,gorengan,cireng,nasigoreng,mi instan ,warteg,gorengan,buah,seblak,soto,nasipadang,mieayam,roti
soto,salad,buah,warteg,bubur,ayamgeprek,salad,ayamgeprek,capcay,nasipadang,sate,nasigoreng,nasi telur,nasi telur,cireng,buah,warteg,nasi_uduk,roti,bubur,ayamgeprek,bakso,warteg,sate,nasi telur,sate,salad,mi instan ,nasi_uduk,mieayam,nasipadang,capcay,sate,bakso,nasi telur,bakso,mi instan ,salad,seblak,mieayam,mi instan ,mieayam,mieayam,nasipadang,gorengan,bubur,cireng,bakso,mi instan ,soto,nasipadang,nasigoreng,mi instan ,nasigoreng,mieayam,roti,bubur,nasipadang,mieayam,nasigoreng,roti,ayamgeprek
capcay,bakso,capcay,nasi telur,warteg,gorengan,capcay,salad,ayamgeprek,mieayam,cireng,cireng,salad,capcay,soto,seblak,mi instan ,bubur,ayamgeprek,bubur,mieayam,nasigoreng,nasi_uduk,nasi_uduk,buah,bakso,nasi telur,bubur,cireng,sate,salad,cireng,soto,bakso,seblak,nasi telur,nasi telur,soto,mi instan ,nasi_uduk,ayamgeprek,salad,nasigoreng,bakso,cireng,nasi_uduk,nasigoreng,nasipadang,bubur,buah,nasi_uduk,mi instan ,nasi_uduk,nasi telur,soto,gorengan,sate,buah,bakso,nasigoreng,gorengan,nasi telur
